,cell_line,compound,concentration,well_tech,replicate,TimePoint,siRNA,obj_cell_count,AnVPos_0,AnVPos_0.1,PIPos_0,PIPos_0.1,REP_si_conc
87,HepG2,DMSO,0.2,1,R1,15,siKEAP1,511,0.282608696,0.280718336,0.073724008,0.073724008,R1_siKEAP1_0.2
88,HepG2,DMSO,0.2,1,R1,15,siNFE2L2,707,0.214415506,0.212598425,0.027256208,0.027256208,R1_siNFE2L2_0.2
89,HepG2,DMSO,0.2,1,R1,15,mock,660,0.185076381,0.184488837,0.033490012,0.033490012,R1_mock_0.2
90,HepG2,DMSO,0.2,1,R1,15,siKinasePool,669,0.247901511,0.245663123,0.035814214,0.035814214,R1_siKinasePool_0.2
91,HepG2,DMSO,0.2,1,R1,16,siGCLC,448,0.360193392,0.358581789,0.047542305,0.047542305,R1_siGCLC_0.2
92,HepG2,DMSO,0.2,1,R1,16,siGCLM,531,0.305171158,0.304442826,0.050983248,0.050983248,R1_siGCLM_0.2
93,HepG2,DMSO,0.2,1,R1,16,siKEAP1,542,0.279411765,0.277573529,0.077205882,0.077205882,R1_siKEAP1_0.2
94,HepG2,DMSO,0.2,1,R1,16,siNFE2L2,753,0.238150289,0.236416185,0.030057803,0.030057803,R1_siNFE2L2_0.2
95,HepG2,DMSO,0.2,1,R1,16,mock,685,0.176672384,0.176100629,0.038307604,0.038307604,R1_mock_0.2
96,HepG2,DMSO,0.2,1,R1,16,siKinasePool,670,0.250696379,0.248467967,0.030640669,0.030640669,R1_siKinasePool_0.2
97,HepG2,DMSO,0.2,1,R1,17,siGCLC,457,0.335448057,0.333068993,0.040444092,0.038858049,R1_siGCLC_0.2
98,HepG2,DMSO,0.2,1,R1,17,siGCLM,556,0.303886926,0.301060071,0.044522968,0.044522968,R1_siGCLM_0.2
99,HepG2,DMSO,0.2,1,R1,17,siKEAP1,556,0.301084991,0.299276673,0.067811935,0.067811935,R1_siKEAP1_0.2
100,HepG2,DMSO,0.2,1,R1,17,siNFE2L2,741,0.231700288,0.229394813,0.027089337,0.026512968,R1_siNFE2L2_0.2
101,HepG2,DMSO,0.2,1,R1,17,mock,714,0.191143498,0.189461883,0.038116592,0.037556054,R1_mock_0.2
102,HepG2,DMSO,0.2,1,R1,17,siKinasePool,698,0.263299301,0.260612574,0.033852767,0.033852767,R1_siKinasePool_0.2
103,HepG2,DMSO,0.2,1,R1,18,siGCLC,493,0.356617647,0.355147059,0.041911765,0.041911765,R1_siGCLC_0.2
104,HepG2,DMSO,0.2,1,R1,18,siGCLM,570,0.316778523,0.315436242,0.043624161,0.043624161,R1_siGCLM_0.2
105,HepG2,DMSO,0.2,1,R1,18,siKEAP1,554,0.312444047,0.310653536,0.063563115,0.06266786,R1_siKEAP1_0.2
106,HepG2,DMSO,0.2,1,R1,18,siNFE2L2,774,0.244875346,0.243767313,0.026592798,0.026038781,R1_siNFE2L2_0.2
107,HepG2,DMSO,0.2,1,R1,18,mock,726,0.199349946,0.19772481,0.034669556,0.034669556,R1_mock_0.2
108,HepG2,DMSO,0.2,1,R1,18,siKinasePool,707,0.266772319,0.266244057,0.031695721,0.031695721,R1_siKinasePool_0.2
109,HepG2,DMSO,0.2,1,R1,19,siGCLC,513,0.351528384,0.349344978,0.045851528,0.045123726,R1_siGCLC_0.2
110,HepG2,DMSO,0.2,1,R1,19,siGCLM,592,0.305628272,0.305628272,0.046465969,0.045811518,R1_siGCLM_0.2
111,HepG2,DMSO,0.2,1,R1,19,siKEAP1,570,0.321917808,0.319349315,0.066780822,0.066780822,R1_siKEAP1_0.2
112,HepG2,DMSO,0.2,1,R1,19,siNFE2L2,788,0.254447439,0.252291105,0.025876011,0.025876011,R1_siNFE2L2_0.2
113,HepG2,DMSO,0.2,1,R1,19,mock,737,0.208756006,0.208222104,0.036305392,0.03577149,R1_mock_0.2
114,HepG2,DMSO,0.2,1,R1,19,siKinasePool,734,0.277494908,0.276476578,0.035641548,0.034623218,R1_siKinasePool_0.2
115,HepG2,DMSO,0.2,1,R1,20,siGCLC,492,0.35007278,0.348617176,0.040756914,0.03930131,R1_siGCLC_0.2
116,HepG2,DMSO,0.2,1,R1,20,siGCLM,624,0.305105853,0.303860523,0.04234122,0.04234122,R1_siGCLM_0.2
117,HepG2,DMSO,0.2,1,R1,20,siKEAP1,574,0.329679595,0.328836425,0.066610455,0.066610455,R1_siKEAP1_0.2
118,HepG2,DMSO,0.2,1,R1,20,siNFE2L2,799,0.2637187,0.26052211,0.023441662,0.023441662,R1_siNFE2L2_0.2
119,HepG2,DMSO,0.2,1,R1,20,mock,759,0.236924686,0.234309623,0.033472803,0.033472803,R1_mock_0.2
120,HepG2,DMSO,0.2,1,R1,20,siKinasePool,749,0.283159463,0.28117238,0.033283656,0.033283656,R1_siKinasePool_0.2
121,HepG2,DMSO,0.2,1,R1,21,siGCLC,511,0.361997226,0.360610264,0.040915395,0.040915395,R1_siGCLC_0.2
122,HepG2,DMSO,0.2,1,R1,21,siGCLM,634,0.314094775,0.312879708,0.040704739,0.040704739,R1_siGCLM_0.2
123,HepG2,DMSO,0.2,1,R1,21,siKEAP1,587,0.325944171,0.324302135,0.070607553,0.068965517,R1_siKEAP1_0.2
124,HepG2,DMSO,0.2,1,R1,21,siNFE2L2,822,0.257881137,0.257364341,0.02377261,0.02377261,R1_siNFE2L2_0.2
125,HepG2,DMSO,0.2,1,R1,21,mock,740,0.218619247,0.216004184,0.035041841,0.034518828,R1_mock_0.2
126,HepG2,DMSO,0.2,1,R1,21,siKinasePool,759,0.274106706,0.273127753,0.031326481,0.031326481,R1_siKinasePool_0.2
127,HepG2,DMSO,0.2,1,R1,22,siGCLC,536,0.366376423,0.363027461,0.038847957,0.038847957,R1_siGCLC_0.2
128,HepG2,DMSO,0.2,1,R1,22,siGCLM,650,0.327261688,0.327261688,0.04007286,0.04007286,R1_siGCLM_0.2
129,HepG2,DMSO,0.2,1,R1,22,siKEAP1,594,0.343698854,0.342880524,0.059738134,0.059738134,R1_siKEAP1_0.2
130,HepG2,DMSO,0.2,1,R1,22,siNFE2L2,830,0.267306721,0.265790803,0.023749368,0.023749368,R1_siNFE2L2_0.2
131,HepG2,DMSO,0.2,1,R1,22,mock,775,0.222502523,0.222502523,0.035317861,0.035317861,R1_mock_0.2
132,HepG2,DMSO,0.2,1,R1,22,siKinasePool,784,0.277511962,0.276555024,0.022966507,0.022966507,R1_siKinasePool_0.2
133,HepG2,DMSO,0.2,1,R1,23,siGCLC,537,0.349966733,0.348636061,0.037258816,0.037258816,R1_siGCLC_0.2
134,HepG2,DMSO,0.2,1,R1,23,siGCLM,656,0.348850913,0.348850913,0.036535062,0.036535062,R1_siGCLM_0.2
135,HepG2,DMSO,0.2,1,R1,23,siKEAP1,614,0.348,0.3456,0.0576,0.0568,R1_siKEAP1_0.2
136,HepG2,DMSO,0.2,1,R1,23,siNFE2L2,839,0.26984127,0.269345238,0.021825397,0.021329365,R1_siNFE2L2_0.2
137,HepG2,DMSO,0.2,1,R1,23,mock,772,0.229145729,0.227135678,0.035175879,0.035175879,R1_mock_0.2
138,HepG2,DMSO,0.2,1,R1,23,siKinasePool,772,0.285576459,0.284611674,0.025084419,0.024602026,R1_siKinasePool_0.2
139,HepG2,DMSO,0.2,1,R1,24,siGCLC,564,0.353128991,0.351213282,0.039591315,0.039591315,R1_siGCLC_0.2
140,HepG2,DMSO,0.2,1,R1,24,siGCLM,666,0.326124075,0.324985771,0.03756403,0.03756403,R1_siGCLM_0.2
141,HepG2,DMSO,0.2,1,R1,24,siKEAP1,610,0.341365462,0.339759036,0.06184739,0.06184739,R1_siKEAP1_0.2
142,HepG2,DMSO,0.2,1,R1,24,siNFE2L2,841,0.294205052,0.292223873,0.023774146,0.023278851,R1_siNFE2L2_0.2
