,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
220,DMSO,0.2,R4,10,siKinasePool,Apop_cells,0.251104728
221,DMSO,0.2,R4,10,siKinasePool,Live_cells,1.000374561
222,DMSO,0.2,R4,10,siKinasePool,Total_cells,1.25147929
223,DMSO,0.2,R4,11,siKinasePool,Apop_cells,0.273881885
224,DMSO,0.2,R4,11,siKinasePool,Live_cells,1.017538233
225,DMSO,0.2,R4,11,siKinasePool,Total_cells,1.291420118
226,DMSO,0.2,R4,12,siKinasePool,Apop_cells,0.301655118
227,DMSO,0.2,R4,12,siKinasePool,Live_cells,1.043512535
228,DMSO,0.2,R4,12,siKinasePool,Total_cells,1.345167653
229,DMSO,0.2,R4,13,siKinasePool,Apop_cells,0.311252925
230,DMSO,0.2,R4,13,siKinasePool,Live_cells,1.081252006
231,DMSO,0.2,R4,13,siKinasePool,Total_cells,1.392504931
232,DMSO,0.2,R4,14,siKinasePool,Apop_cells,0.328397858
233,DMSO,0.2,R4,14,siKinasePool,Live_cells,1.077420682
234,DMSO,0.2,R4,14,siKinasePool,Total_cells,1.40581854
235,DMSO,0.2,R4,15,siKinasePool,Apop_cells,0.355629206
236,DMSO,0.2,R4,15,siKinasePool,Live_cells,1.104923062
237,DMSO,0.2,R4,15,siKinasePool,Total_cells,1.460552268
238,DMSO,0.2,R4,16,siKinasePool,Apop_cells,0.369539856
239,DMSO,0.2,R4,16,siKinasePool,Live_cells,1.115667245
240,DMSO,0.2,R4,16,siKinasePool,Total_cells,1.485207101
241,DMSO,0.2,R4,17,siKinasePool,Apop_cells,0.397786276
242,DMSO,0.2,R4,17,siKinasePool,Live_cells,1.152016485
243,DMSO,0.2,R4,17,siKinasePool,Total_cells,1.549802761
244,DMSO,0.2,R4,18,siKinasePool,Apop_cells,0.413063793
245,DMSO,0.2,R4,18,siKinasePool,Live_cells,1.173228121
246,DMSO,0.2,R4,18,siKinasePool,Total_cells,1.586291913
247,DMSO,0.2,R4,19,siKinasePool,Apop_cells,0.436992101
248,DMSO,0.2,R4,19,siKinasePool,Live_cells,1.170009871
249,DMSO,0.2,R4,19,siKinasePool,Total_cells,1.607001972
250,DMSO,0.2,R4,20,siKinasePool,Apop_cells,0.447471009
251,DMSO,0.2,R4,20,siKinasePool,Live_cells,1.178761733
252,DMSO,0.2,R4,20,siKinasePool,Total_cells,1.626232742
253,NIT,7.5,R1,0,siKinasePool,Apop_cells,NA
254,NIT,7.5,R1,0,siKinasePool,Live_cells,NA
255,NIT,7.5,R1,0,siKinasePool,Total_cells,1
256,NIT,7.5,R1,1,siKinasePool,Apop_cells,0.11227849
257,NIT,7.5,R1,1,siKinasePool,Live_cells,0.88772151
258,NIT,7.5,R1,1,siKinasePool,Total_cells,1
259,NIT,7.5,R1,2,siKinasePool,Apop_cells,0.11446923
260,NIT,7.5,R1,2,siKinasePool,Live_cells,0.887066868
261,NIT,7.5,R1,2,siKinasePool,Total_cells,1.001536098
262,NIT,7.5,R1,3,siKinasePool,Apop_cells,0.120593878
263,NIT,7.5,R1,3,siKinasePool,Live_cells,0.897839301
264,NIT,7.5,R1,3,siKinasePool,Total_cells,1.01843318
265,NIT,7.5,R1,4,siKinasePool,Apop_cells,0.137391597
266,NIT,7.5,R1,4,siKinasePool,Live_cells,0.881041583
267,NIT,7.5,R1,4,siKinasePool,Total_cells,1.01843318
268,NIT,7.5,R1,5,siKinasePool,Apop_cells,0.141757445
269,NIT,7.5,R1,5,siKinasePool,Live_cells,0.89050062
270,NIT,7.5,R1,5,siKinasePool,Total_cells,1.032258065
271,NIT,7.5,R1,6,siKinasePool,Apop_cells,0.152841785
272,NIT,7.5,R1,6,siKinasePool,Live_cells,0.909370196
273,NIT,7.5,R1,6,siKinasePool,Total_cells,1.062211982
274,NIT,7.5,R1,7,siKinasePool,Apop_cells,0.156111683
275,NIT,7.5,R1,7,siKinasePool,Live_cells,0.929141773
276,NIT,7.5,R1,7,siKinasePool,Total_cells,1.085253456
277,NIT,7.5,R1,8,siKinasePool,Apop_cells,0.198632185
278,NIT,7.5,R1,8,siKinasePool,Live_cells,0.897373959
279,NIT,7.5,R1,8,siKinasePool,Total_cells,1.096006144
280,NIT,7.5,R1,9,siKinasePool,Apop_cells,0.207183238
281,NIT,7.5,R1,9,siKinasePool,Live_cells,0.947962692
282,NIT,7.5,R1,9,siKinasePool,Total_cells,1.155145929
283,NIT,7.5,R1,10,siKinasePool,Apop_cells,0.21414937
284,NIT,7.5,R1,10,siKinasePool,Live_cells,0.962501936
285,NIT,7.5,R1,10,siKinasePool,Total_cells,1.176651306
286,NIT,7.5,R1,11,siKinasePool,Apop_cells,0.220307772
287,NIT,7.5,R1,11,siKinasePool,Live_cells,0.997050139
288,NIT,7.5,R1,11,siKinasePool,Total_cells,1.217357911
289,NIT,7.5,R1,12,siKinasePool,Apop_cells,0.260225237
290,NIT,7.5,R1,12,siKinasePool,Live_cells,1.005519771
291,NIT,7.5,R1,12,siKinasePool,Total_cells,1.265745008
292,NIT,7.5,R1,13,siKinasePool,Apop_cells,0.261680902
293,NIT,7.5,R1,13,siKinasePool,Live_cells,1.03632217
294,NIT,7.5,R1,13,siKinasePool,Total_cells,1.298003072
295,NIT,7.5,R1,14,siKinasePool,Apop_cells,0.285557348
296,NIT,7.5,R1,14,siKinasePool,Live_cells,1.02550256
297,NIT,7.5,R1,14,siKinasePool,Total_cells,1.311059908
298,NIT,7.5,R1,15,siKinasePool,Apop_cells,0.287882259
299,NIT,7.5,R1,15,siKinasePool,Live_cells,1.053131566
300,NIT,7.5,R1,15,siKinasePool,Total_cells,1.341013825
301,NIT,7.5,R1,16,siKinasePool,Apop_cells,0.331414943
302,NIT,7.5,R1,16,siKinasePool,Live_cells,1.042624995
303,NIT,7.5,R1,16,siKinasePool,Total_cells,1.374039939
304,NIT,7.5,R1,17,siKinasePool,Apop_cells,0.327041679
305,NIT,7.5,R1,17,siKinasePool,Live_cells,1.080792422
306,NIT,7.5,R1,17,siKinasePool,Total_cells,1.407834101
307,NIT,7.5,R1,18,siKinasePool,Apop_cells,0.366464276
308,NIT,7.5,R1,18,siKinasePool,Live_cells,1.033689333
309,NIT,7.5,R1,18,siKinasePool,Total_cells,1.40015361
310,NIT,7.5,R1,19,siKinasePool,Apop_cells,0.384853007
311,NIT,7.5,R1,19,siKinasePool,Live_cells,1.051398913
312,NIT,7.5,R1,19,siKinasePool,Total_cells,1.43625192
313,NIT,7.5,R1,20,siKinasePool,Apop_cells,0.399163693
314,NIT,7.5,R1,20,siKinasePool,Live_cells,1.075490685
315,NIT,7.5,R1,20,siKinasePool,Total_cells,1.474654378
316,NIT,7.5,R2,0,siKinasePool,Apop_cells,NA
317,NIT,7.5,R2,0,siKinasePool,Live_cells,NA
318,NIT,7.5,R2,0,siKinasePool,Total_cells,1
319,NIT,7.5,R2,1,siKinasePool,Apop_cells,0.131285409
320,NIT,7.5,R2,1,siKinasePool,Live_cells,0.868714592
321,NIT,7.5,R2,1,siKinasePool,Total_cells,1
322,NIT,7.5,R2,2,siKinasePool,Apop_cells,0.127661979
323,NIT,7.5,R2,2,siKinasePool,Live_cells,0.864889232
324,NIT,7.5,R2,2,siKinasePool,Total_cells,0.99255121
325,NIT,7.5,R2,3,siKinasePool,Apop_cells,0.140609486
326,NIT,7.5,R2,3,siKinasePool,Live_cells,0.89849666
327,NIT,7.5,R2,3,siKinasePool,Total_cells,1.039106145
328,NIT,7.5,R2,4,siKinasePool,Apop_cells,0.161222173
329,NIT,7.5,R2,4,siKinasePool,Live_cells,0.870435183
330,NIT,7.5,R2,4,siKinasePool,Total_cells,1.031657356
331,NIT,7.5,R2,5,siKinasePool,Apop_cells,0.156507911
332,NIT,7.5,R2,5,siKinasePool,Live_cells,0.860251865
333,NIT,7.5,R2,5,siKinasePool,Total_cells,1.016759777
334,NIT,7.5,R2,6,siKinasePool,Apop_cells,0.184349453
335,NIT,7.5,R2,6,siKinasePool,Live_cells,0.853825593
336,NIT,7.5,R2,6,siKinasePool,Total_cells,1.038175047
337,NIT,7.5,R2,7,siKinasePool,Apop_cells,0.202054158
338,NIT,7.5,R2,7,siKinasePool,Live_cells,0.882675823
339,NIT,7.5,R2,7,siKinasePool,Total_cells,1.084729981
340,NIT,7.5,R2,8,siKinasePool,Apop_cells,0.235616445
341,NIT,7.5,R2,8,siKinasePool,Live_cells,0.881701991
342,NIT,7.5,R2,8,siKinasePool,Total_cells,1.117318436
343,NIT,7.5,R2,9,siKinasePool,Apop_cells,0.231113244
344,NIT,7.5,R2,9,siKinasePool,Live_cells,0.914138153
345,NIT,7.5,R2,9,siKinasePool,Total_cells,1.145251397
346,NIT,7.5,R2,10,siKinasePool,Apop_cells,0.260072109
347,NIT,7.5,R2,10,siKinasePool,Live_cells,0.927078729
348,NIT,7.5,R2,10,siKinasePool,Total_cells,1.187150838
349,NIT,7.5,R2,11,siKinasePool,Apop_cells,0.289397693
350,NIT,7.5,R2,11,siKinasePool,Live_cells,0.918237316
351,NIT,7.5,R2,11,siKinasePool,Total_cells,1.207635009
352,NIT,7.5,R2,12,siKinasePool,Apop_cells,0.315906343
353,NIT,7.5,R2,12,siKinasePool,Live_cells,0.922454923
354,NIT,7.5,R2,12,siKinasePool,Total_cells,1.238361266
355,NIT,7.5,R2,13,siKinasePool,Apop_cells,0.319356969
356,NIT,7.5,R2,13,siKinasePool,Live_cells,0.963697034
357,NIT,7.5,R2,13,siKinasePool,Total_cells,1.283054004
358,NIT,7.5,R2,14,siKinasePool,Apop_cells,0.34813679
359,NIT,7.5,R2,14,siKinasePool,Live_cells,0.962850174
360,NIT,7.5,R2,14,siKinasePool,Total_cells,1.310986965
361,NIT,7.5,R2,15,siKinasePool,Apop_cells,0.373158581
362,NIT,7.5,R2,15,siKinasePool,Live_cells,0.967623542
363,NIT,7.5,R2,15,siKinasePool,Total_cells,1.340782123
